jeu_100_25_4.txt_3_currentSA	jeu_100_25_4.txt_3_bestSA	jeu_100_25_4.txt_3_currentTS	jeu_100_25_4.txt_3_bestTS	jeu_100_25_4.txt_3_currentGrasp	jeu_100_25_4.txt_3_bestGrasp	jeu_100_25_4.txt_3_currentIG	jeu_100_25_4.txt_3_bestIG	
16582	16636	22458	23838	14135	24764	15345	25367	
16582	16636	22104	23838	14629	24764	15731	25367	
16582	16636	22357	23838	15208	24764	16338	25367	
16582	16636	22446	23838	15305	24764	16576	25367	
16582	16636	22796	23838	15385	24764	17104	25367	
16582	16636	22480	23838	15485	24764	17583	25367	
16582	16636	22842	23838	15648	24764	18161	25367	
16734	16734	22673	23838	15736	24764	19152	25367	
16734	16734	22592	23838	15902	24764	19763	25367	
16734	16734	22457	23838	16006	24764	20566	25367	
16734	16734	22549	23838	16117	24764	21193	25367	
16734	16734	22228	23838	16344	24764	21667	25367	
16734	16734	22727	23838	16473	24764	22078	25367	
16734	16734	22342	23838	16691	24764	22464	25367	
16734	16734	22271	23838	17132	24764	22907	25367	
16734	16734	22079	23838	17346	24764	23181	25367	
16734	16734	22719	23838	17624	24764	23587	25367	
16734	16734	22460	23838	17820	24764	23857	25367	
16734	16734	22691	23838	18055	24764	24104	25367	
16389	16734	22785	23838	18339	24764	24361	25367	
16389	16734	22609	23838	18645	24764	24657	25367	
16395	16734	22358	23838	19002	24764	24880	25367	
16395	16734	22641	23838	19359	24764	24880	25367	
16395	16734	22920	23838	19551	24764	14549	25367	
16395	16734	22612	23838	19847	24764	15169	25367	
16395	16734	22324	23838	20076	24764	15799	25367	
16134	16734	22014	23838	20476	24764	16679	25367	
16134	16734	22210	23838	20566	24764	17363	25367	
16134	16734	22313	23838	20647	24764	17657	25367	
16134	16734	22563	23838	20760	24764	18247	25367	
16134	16734	22903	23838	21005	24764	18758	25367	
16134	16734	22980	23838	21175	24764	19499	25367	
16134	16734	23018	23838	21259	24764	20004	25367	
16134	16734	22890	23838	21391	24764	20552	25367	
16134	16734	22944	23838	21568	24764	21270	25367	
16134	16734	23009	23838	21773	24764	21913	25367	
16134	16734	23068	23838	21816	24764	22396	25367	
16134	16734	23043	23838	21986	24764	23105	25367	
16134	16734	23157	23838	22251	24764	23358	25367	
16134	16734	23081	23838	22418	24764	23875	25367	
16134	16734	23180	23838	22697	24764	24337	25367	
16227	16734	23227	23838	22941	24764	24657	25367	
16227	16734	23725	23838	23116	24764	25040	25367	
16227	16734	23634	23838	23389	24764	25367	25367	
16227	16734	23490	23838	23681	24764	25367	25367	
16227	16734	23161	23838	23763	24764	15101	25367	
16227	16734	23039	23838	23880	24764	15737	25367	
16147	16734	23005	23838	23880	24764	16095	25367	
16147	16734	23087	23838	23880	24764	16392	25367	
16147	16734	23261	23838	24180	24764	16933	25367	
16305	16734	23008	23838	92	24764	17162	25367	
16305	16734	22865	23838	172	24764	17590	25367	
16305	16734	22750	23838	349	24764	18072	25367	
16305	16734	22692	23838	446	24764	18653	25367	
16305	16734	22352	23838	503	24764	19113	25367	
16305	16734	22851	23838	518	24764	19767	25367	
16305	16734	22919	23838	704	24764	20618	25367	
16305	16734	22792	23838	849	24764	21248	25367	
16305	16734	22972	23838	1175	24764	22150	25367	
16182	16734	22726	23838	1210	24764	22655	25367	
16182	16734	22613	23838	1308	24764	23138	25367	
16182	16734	22396	23838	1421	24764	23847	25367	
16182	16734	22957	23838	1629	24764	24119	25367	
16182	16734	22683	23838	1878	24764	24440	25367	
16182	16734	22789	23838	2000	24764	24724	25367	
16182	16734	22679	23838	2361	24764	24979	25367	
16182	16734	22603	23838	2478	24764	25283	25367	
16182	16734	22258	23838	2694	24764	25303	25367	
16182	16734	22786	23838	2850	24764	25303	25367	
16182	16734	22463	23838	2971	24764	17006	25367	
16182	16734	22844	23838	3014	24764	17594	25367	
16182	16734	22480	23838	3463	24764	18060	25367	
16182	16734	22895	23838	3712	24764	18707	25367	
16182	16734	22517	23838	4102	24764	19116	25367	
16251	16734	23036	23838	4444	24764	19685	25367	
16251	16734	22639	23838	4637	24764	20622	25367	
16251	16734	23015	23838	5042	24764	21031	25367	
16251	16734	23247	23838	5218	24764	21536	25367	
16251	16734	23116	23838	5581	24764	22253	25367	
15940	16734	22834	23838	5811	24764	22762	25367	
15940	16734	23058	23838	6398	24764	23186	25367	
15940	16734	23213	23838	6763	24764	23668	25367	
15940	16734	23126	23838	7211	24764	24274	25367	
16111	16734	23008	23838	7570	24764	24523	25367	
16111	16734	23072	23838	7990	24764	24875	25367	
16111	16734	23093	23838	8495	24764	24875	25367	
16111	16734	22931	23838	8900	24764	16241	25367	
16111	16734	22925	23838	9375	24764	16596	25367	
16111	16734	22873	23838	10194	24764	17116	25367	
16111	16734	22635	23838	10785	24764	17630	25367	
16111	16734	23045	23838	11439	24764	18220	25367	
16111	16734	22789	23838	12269	24764	18699	25367	
16111	16734	22520	23838	12942	24764	19336	25367	
16111	16734	22565	23838	13477	24764	20022	25367	
15921	16734	22434	23838	14193	24764	20629	25367	
15921	16734	22392	23838	14971	24764	21334	25367	
15921	16734	22085	23838	15011	24764	21717	25367	
15921	16734	22463	23838	15100	24764	22139	25367	
15921	16734	22129	23838	15165	24764	22661	25367	
15921	16734	22345	23838	15456	24764	23042	25367	
15921	16734	22692	23838	15519	24764	23565	25367	
15921	16734	22620	23838	15668	24764	23889	25367	
15921	16734	22698	23838	15850	24764	24285	25367	
15921	16734	22631	23838	16021	24764	24532	25367	
15921	16734	22336	23838	16147	24764	24532	25367	
15921	16734	22562	23838	16349	24764	15789	25367	
15921	16734	22946	23838	16568	24764	16399	25367	
15921	16734	23154	23838	16831	24764	17045	25367	
15921	16734	23235	23838	17050	24764	17495	25367	
15921	16734	23268	23838	17306	24764	17790	25367	
15921	16734	23367	23838	17444	24764	18538	25367	
15921	16734	23190	23838	17689	24764	19057	25367	
15921	16734	22932	23838	17948	24764	19638	25367	
16229	16734	23014	23838	18288	24764	20376	25367	
15935	16734	23014	23838	18444	24764	20764	25367	
15935	16734	23014	23838	18684	24764	21496	25367	
15935	16734	23014	23838	18963	24764	22405	25367	
16034	16734	23014	23838	19211	24764	22844	25367	
16034	16734	23014	23838	19422	24764	23293	25367	
16034	16734	23014	23838	19828	24764	23647	25367	
16034	16734	23014	23838	20263	24764	24192	25367	
16034	16734	23014	23838	20354	24764	24539	25367	
16034	16734	23014	23838	20411	24764	24967	25367	
16350	16734	23014	23838	20492	24764	25251	25367	
16350	16734	23014	23838	20640	24764	25448	25448	
16109	16734	23014	23838	20730	24764	25448	25448	
16109	16734	23014	23838	20865	24764	15785	25448	
16109	16734	23014	23838	21016	24764	16559	25448	
16109	16734	23014	23838	21215	24764	17177	25448	
16109	16734	23014	23838	21306	24764	17547	25448	
16109	16734	23014	23838	21457	24764	18113	25448	
16109	16734	23014	23838	21600	24764	18914	25448	
16109	16734	23014	23838	21728	24764	19668	25448	
16109	16734	23014	23838	21966	24764	20577	25448	
16109	16734	23014	23838	22195	24764	21060	25448	
16109	16734	23014	23838	22377	24764	21599	25448	
16109	16734	23014	23838	22718	24764	22108	25448	
16109	16734	23014	23838	22944	24764	22753	25448	
16109	16734	23014	23838	23252	24764	23172	25448	
16109	16734	23014	23838	23616	24764	23466	25448	
16109	16734	23014	23838	23646	24764	23822	25448	
16109	16734	23014	23838	23838	24764	24214	25448	
16109	16734	23014	23838	23838	24764	24578	25448	
16109	16734	23014	23838	23838	24764	24891	25448	
16109	16734	23014	23838	24048	24764	25287	25448	
16109	16734	23014	23838	92	24764	25484	25484	
16109	16734	23014	23838	172	24764	25484	25484	
16109	16734	23014	23838	349	24764	11476	25484	
15599	16734	23014	23838	446	24764	12074	25484	
16026	16734	23014	23838	604	24764	12534	25484	
16026	16734	23014	23838	790	24764	13034	25484	
16267	16734	23014	23838	870	24764	13509	25484	
16267	16734	23014	23838	982	24764	13812	25484	
16267	16734	23014	23838	1118	24764	14435	25484	
16267	16734	23014	23838	1352	24764	15066	25484	
16267	16734	23014	23838	1427	24764	15527	25484	
16267	16734	23014	23838	1520	24764	16079	25484	
16267	16734	23014	23838	1653	24764	16462	25484	
16267	16734	23014	23838	1709	24764	17117	25484	
16267	16734	23014	23838	1751	24764	17759	25484	
16267	16734	23014	23838	1903	24764	18172	25484	
16267	16734	23014	23838	1956	24764	18840	25484	
16267	16734	23014	23838	2087	24764	19735	25484	
16017	16734	23014	23838	2333	24764	20126	25484	
16017	16734	23014	23838	2493	24764	20662	25484	
16017	16734	23014	23838	2546	24764	21273	25484	
16461	16734	23014	23838	2827	24764	22048	25484	
16184	16734	23014	23838	2954	24764	22423	25484	
16184	16734	23014	23838	3247	24764	22803	25484	
16184	16734	23014	23838	3721	24764	23180	25484	
16184	16734	23014	23838	4199	24764	23590	25484	
16184	16734	23014	23838	4247	24764	23866	25484	
16184	16734	23014	23838	4768	24764	24173	25484	
16184	16734	23014	23838	5078	24764	24457	25484	
16184	16734	23014	23838	5408	24764	24712	25484	
